영역명,업종매핑(사용자가정),"f(수수료율,가정)",상품유형,r(명목최대혜택률),g*(명목),성립불가(r>=f),비고
현대백화점,소매/유통,0.0115,특화형,0.1,inf,True,
현대백화점,소매/유통,0.0115,혼합형,0.05,inf,True,
마트,소매/유통,0.0115,범용형,0.02,inf,True,
마트,소매/유통,0.0115,특화형,0.1,inf,True,
마트,소매/유통,0.0115,혼합형,0.05,inf,True,
홈쇼핑,소매/유통,0.0115,범용형,0.02,inf,True,
홈쇼핑,소매/유통,0.0115,특화형,0.1,inf,True,
홈쇼핑,소매/유통,0.0115,혼합형,0.1,inf,True,
슈퍼마켓,소매/유통,0.0115,범용형,0.02,inf,True,
슈퍼마켓,소매/유통,0.0115,특화형,0.1,inf,True,
슈퍼마켓,소매/유통,0.0115,혼합형,0.05,inf,True,
아울렛,소매/유통,0.0115,범용형,0.02,inf,True,
아울렛,소매/유통,0.0115,특화형,0.1,inf,True,
아울렛,소매/유통,0.0115,혼합형,0.05,inf,True,
온라인명품,소매/유통,0.0115,범용형,0.02,inf,True,
온라인명품,소매/유통,0.0115,특화형,0.1,inf,True,
온라인명품,소매/유통,0.0115,혼합형,0.1,inf,True,
온라인패션,소매/유통,0.0115,범용형,0.02,inf,True,
온라인패션,소매/유통,0.0115,특화형,0.2,inf,True,
온라인패션,소매/유통,0.0115,혼합형,0.1,inf,True,
SPA브랜드,소매/유통,0.0115,범용형,0.02,inf,True,
SPA브랜드,소매/유통,0.0115,특화형,0.2,inf,True,
SPA브랜드,소매/유통,0.0115,혼합형,0.1,inf,True,
편의점,소매/유통,0.0115,범용형,0.03,inf,True,
편의점,소매/유통,0.0115,특화형,0.1,inf,True,
편의점,소매/유통,0.0115,혼합형,0.1,inf,True,
대중교통,생활서비스,0.004,범용형,0.05,inf,True,
대중교통,생활서비스,0.004,특화형,0.1,inf,True,
대중교통,생활서비스,0.004,혼합형,0.1,inf,True,
병원/약국,의료/건강,0.01,범용형,0.02,inf,True,
병원/약국,의료/건강,0.01,특화형,0.1,inf,True,
병원/약국,의료/건강,0.01,혼합형,0.05,inf,True,
학원,학문/교육,0.01,범용형,0.02,inf,True,
학원,학문/교육,0.01,특화형,0.1,inf,True,
학원,학문/교육,0.01,혼합형,0.05,inf,True,
생활요금,생활서비스,0.004,범용형,0.02,inf,True,
생활요금,생활서비스,0.004,특화형,0.1,inf,True,
생활요금,생활서비스,0.004,혼합형,0.05,inf,True,
SKT 통신요금,미디어/통신,0.0208,범용형,0.03,inf,True,
SKT 통신요금,미디어/통신,0.0208,특화형,0.1,inf,True,
SKT 통신요금,미디어/통신,0.0208,혼합형,0.1,inf,True,
KT 통신요금,미디어/통신,0.0208,범용형,0.03,inf,True,
KT 통신요금,미디어/통신,0.0208,특화형,0.1,inf,True,
KT 통신요금,미디어/통신,0.0208,혼합형,0.05,inf,True,
LGU+ 통신요금,미디어/통신,0.0208,범용형,0.03,inf,True,
LGU+ 통신요금,미디어/통신,0.0208,특화형,0.1,inf,True,
LGU+ 통신요금,미디어/통신,0.0208,혼합형,0.05,inf,True,
T멤버십 바코드 결제,생활서비스,0.004,범용형,0.02,inf,True,
T멤버십 바코드 결제,생활서비스,0.004,특화형,0.2,inf,True,
T멤버십 바코드 결제,생활서비스,0.004,혼합형,0.05,inf,True,
드럭스토어,소매/유통,0.0115,범용형,0.03,inf,True,
드럭스토어,소매/유통,0.0115,특화형,0.2,inf,True,
드럭스토어,소매/유통,0.0115,혼합형,0.1,inf,True,
세탁,생활서비스,0.004,범용형,0.04,inf,True,
세탁,생활서비스,0.004,특화형,0.3,inf,True,
세탁,생활서비스,0.004,혼합형,0.1,inf,True,
인테리어,생활서비스,0.004,범용형,0.03,inf,True,
인테리어,생활서비스,0.004,특화형,0.1,inf,True,
인테리어,생활서비스,0.004,혼합형,0.1,inf,True,
렌탈,생활서비스,0.004,범용형,0.05,inf,True,
렌탈,생활서비스,0.004,특화형,0.3,inf,True,
렌탈,생활서비스,0.004,혼합형,0.2,inf,True,
뷰티&펫,생활서비스,0.004,범용형,0.04,inf,True,
뷰티&펫,생활서비스,0.004,특화형,0.2,inf,True,
뷰티&펫,생활서비스,0.004,혼합형,0.1,inf,True,
